                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10108      5.0000000000000000E-001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                      407                  1.0000000000000001E-005                 -4.9999999999999991E+000                  4.9999999999999517E-001                  3.2997648454896201E+001                 -9.3083179563250606E+000                  3.3684978987598573E-005                  8.6120121875603650E-001                  1.7093231496755068E-003                  9.9999894068354322E-001                  9.2407801398372114E-001                  8.6120121875603650E-001                  1.7093231496755068E-003                  9.9999894068354322E-001                  9.2407801398372114E-001                 -2.0565426711013362E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0565426711013362E+001                 -2.0565426711013362E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6155951679480807E+000                  1.7663290105131901E+000                  1.1752330058130607E+000                  1.7863933461230184E+000                 -2.4388818429772138E-001                  5.4778652538225554E+000                 -2.6957536922411136E+000                  1.0902204089851969E+001                 -2.6957536922411136E+000                  5.4778652538225554E+000                  6.2179927765326470E-001                  8.4999665454629891E-001                  1.2966454152047262E+000                  6.9999999999999996E-001                  2.7997020236474884E-001                  3.4416106108120293E-003                  9.3393731282184877E-003                  3.4416106108120293E-003                  9.3393731282184859E-003                  3.4999999999999781E-001                  1.3998510118237345E-001                                        0                                        0                                        6 
                                       2                                      404                  2.2000000000000003E-005                 -4.9208187539523749E+000                  4.9999999999998929E-001                  3.2997648454896193E+001                 -9.3102499566675423E+000                  3.3684950250426074E-005                  8.6120121875604705E-001                  1.7093231498032048E-003                  9.9999894068354322E-001                  9.2407801398409350E-001                  8.6120121875604705E-001                  1.7093231498032048E-003                  9.9999894068354322E-001                  9.2407801398409350E-001                 -2.0565427437844530E+001                 -9.8999999999999986E+001                 -3.6123599479677743E+001                 -2.0565427437844530E+001                 -2.0565427437844530E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6150509657409291E+000                  1.7641029054112087E+000                  1.1752083576763723E+000                  1.7864426423963899E+000                 -2.3820195950369213E-001                  5.4778652194572341E+000                 -2.6957537178425905E+000                  1.0902204029222654E+001                 -2.6957537178425905E+000                  5.4778652194572341E+000                  6.2179927785672162E-001                  8.4999665454629869E-001                  1.2966454152047264E+000                  6.9999999999999984E-001                  2.7997020236474879E-001                  3.4416106108120285E-003                  9.3393731282184859E-003                  3.4416106108120276E-003                  9.3393731282184859E-003                  3.4999999999999293E-001                  1.3998510118237154E-001                                        0                                        0                                        6 
                                       3                                      401                  3.6400000000000004E-005                 -4.8416375079047498E+000                  4.9999999999998224E-001                  3.2997648454896186E+001                 -9.3125007099062067E+000                  3.3684914293978083E-005                  8.6120121875605937E-001                  1.7093231499508640E-003                  9.9999894068354322E-001                  9.2407801398454381E-001                  8.6120121875605937E-001                  1.7093231499508640E-003                  9.9999894068354322E-001                  9.2407801398454381E-001                 -2.0565428499246188E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0565428499246188E+001                 -2.0565428499246188E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6144209152641111E+000                  1.7615249518863854E+000                  1.1751794818675974E+000                  1.7865003940139339E+000                 -2.3275797774018495E-001                  5.4778651688056801E+000                 -2.6957537656448571E+000                  1.0902203929866719E+001                 -2.6957537656448571E+000                  5.4778651688056801E+000                  6.2179927813242974E-001                  8.4999665454629891E-001                  1.2966454152047262E+000                  6.9999999999999996E-001                  2.7997020236474884E-001                  3.4416106108120285E-003                  9.3393731282184877E-003                  3.4416106108120276E-003                  9.3393731282184877E-003                  3.4999999999998677E-001                  1.3998510118236909E-001                                        0                                        0                                        6 
                                       4                                      401                  5.3680000000000001E-005                 -4.7624562618571247E+000                  4.9999999999997391E-001                  3.2997648454896179E+001                 -9.3151075392398006E+000                  3.3684868995299958E-005                  8.6120121875607392E-001                  1.7093231501291105E-003                  9.9999894068354322E-001                  9.2407801398508937E-001                  8.6120121875607392E-001                  1.7093231501291105E-003                  9.9999894068354322E-001                  9.2407801398508937E-001                 -2.0565428679838352E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0565428679838352E+001                 -2.0565428679838352E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6136958184753016E+000                  1.7585568258240662E+000                  1.1751456124140567E+000                  1.7865681329210079E+000                 -2.2774551370596113E-001                  5.4778651671498997E+000                 -2.6957537362090163E+000                  1.0902203957388252E+001                 -2.6957537362090163E+000                  5.4778651671498997E+000                  6.2179927821586012E-001                  8.4999665454629869E-001                  1.2966454152047264E+000                  6.9999999999999984E-001                  2.7997020236474879E-001                  3.4416106108120285E-003                  9.3393731282184859E-003                  3.4416106108120267E-003                  9.3393731282184859E-003                  3.4999999999998188E-001                  1.3998510118236704E-001                                        0                                        0                                        6 
                                       5                                      398                  7.4416000000000000E-005                 -4.6832750158095005E+000                  4.9999999999996392E-001                  3.2997648454896172E+001                 -9.3181095347556528E+000                  3.3684811478427624E-005                  8.6120121875609101E-001                  1.7093231503431132E-003                  9.9999894068354322E-001                  9.2407801398574818E-001                  8.6120121875609101E-001                  1.7093231503431132E-003                  9.9999894068354322E-001                  9.2407801398574818E-001                 -2.0565428890160746E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0565428890160746E+001                 -2.0565428890160746E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6128234687069152E+000                  1.7549869242955813E+000                  1.1751053611865871E+000                  1.7866486353759383E+000                 -2.2583430829117782E-001                  5.4778651665156595E+000                 -2.6957537030516003E+000                  1.0902203989650710E+001                 -2.6957537030516003E+000                  5.4778651665156595E+000                  6.2179927830034953E-001                  8.4999665454629869E-001                  1.2966454152047264E+000                  6.9999999999999996E-001                  2.7997020236474884E-001                  3.4416106108120285E-003                  9.3393731282184877E-003                  3.4416106108120267E-003                  9.3393731282184859E-003                  3.4999999999997489E-001                  1.3998510118236437E-001                                        0                                        0                                        6 
                                       6                                      398                  9.9299199999999986E-005                 -4.6040937697618753E+000                  4.9999999999995204E-001                  3.2997648454896158E+001                 -9.3217196875115977E+000                  3.3684737794128653E-005                  8.6120121875611111E-001                  1.7093231505981056E-003                  9.9999894068354322E-001                  9.2407801398654110E-001                  8.6120121875611111E-001                  1.7093231505981056E-003                  9.9999894068354322E-001                  9.2407801398654110E-001                 -2.0565429136135645E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0565429136135645E+001                 -2.0565429136135645E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6118456440950046E+000                  1.7509832053834657E+000                  1.1750591509543502E+000                  1.7867410558404020E+000                 -2.1636700718356555E-001                  5.4778651672360201E+000                 -2.6957536661151971E+000                  1.0902204027052417E+001                 -2.6957536661151971E+000                  5.4778651672360201E+000                  6.2179927838346938E-001                  8.4999665454629858E-001                  1.2966454152047264E+000                  6.9999999999999984E-001                  2.7997020236474879E-001                  3.4416106108120276E-003                  9.3393731282184859E-003                  3.4416106108120259E-003                  9.3393731282184877E-003                  3.4999999999996645E-001                  1.3998510118236113E-001                                        0                                        0                                        6 
                                       7                                      398                  1.2915903999999998E-004                 -4.5249125237142502E+000                  4.9999999999993794E-001                  3.2997648454896151E+001                 -9.3257696166559398E+000                  3.3684642465892184E-005                  8.6120121875613553E-001                  1.7093231509069729E-003                  9.9999894068354322E-001                  9.2407801398749034E-001                  8.6120121875613553E-001                  1.7093231509069729E-003                  9.9999894068354322E-001                  9.2407801398749034E-001                 -2.0565429422468434E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0565429422468434E+001                 -2.0565429422468434E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6107688817610737E+000                  1.7465706759199016E+000                  1.1750064108904303E+000                  1.7868465359682293E+000                 -2.0611349314153424E-001                  5.4778651697905776E+000                 -2.6957536252492189E+000                  1.0902204070234305E+001                 -2.6957536252492189E+000                  5.4778651697905776E+000                  6.2179927846188265E-001                  8.4999665454629891E-001                  1.2966454152047262E+000                  6.9999999999999996E-001                  2.7997020236474884E-001                  3.4416106108120276E-003                  9.3393731282184877E-003                  3.4416106108120259E-003                  9.3393731282184859E-003                  3.4999999999995646E-001                  1.3998510118235699E-001                                        0                                        0                                        6 
                                       8                                      398                  1.6499084799999998E-004                 -4.4457312776666260E+000                  4.9999999999992117E-001                  3.2997648454896137E+001                 -9.3302348861834119E+000                  3.3684517790715684E-005                  8.6120121875616462E-001                  1.7093231512769944E-003                  9.9999894068354322E-001                  9.2407801398861655E-001                  8.6120121875616462E-001                  1.7093231512769944E-003                  9.9999894068354322E-001                  9.2407801398861655E-001                 -2.0565429753143967E+001                 -9.8999999999999986E+001                 -3.6123599479677743E+001                 -2.0565429753143967E+001                 -2.0565429753143967E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6095828379644010E+000                  1.7417063353101800E+000                  1.1749463281789148E+000                  1.7869667013912458E+000                 -1.9602372686829297E-001                  5.4778651747650429E+000                 -2.6957535802465116E+000                  1.0902204120002253E+001                 -2.6957535802465116E+000                  5.4778651747650429E+000                  6.2179927853157280E-001                  8.4999665454629858E-001                  1.2966454152047264E+000                  6.9999999999999984E-001                  2.7997020236474879E-001                  3.4416106108120272E-003                  9.3393731282184859E-003                  3.4416106108120250E-003                  9.3393731282184859E-003                  3.4999999999994413E-001                  1.3998510118235211E-001                                        0                                        0                                        6 
                                       9                                      398                  2.0798901759999997E-004                 -4.3665500316190009E+000                  4.9999999999990130E-001                  3.2997648454896115E+001                 -9.3351593095046344E+000                  3.3684352812552121E-005                  8.6120121875619859E-001                  1.7093231517227119E-003                  9.9999894068354322E-001                  9.2407801398993505E-001                  8.6120121875619859E-001                  1.7093231517227119E-003                  9.9999894068354322E-001                  9.2407801398993505E-001                 -2.0565430132236056E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0565430132236056E+001                 -2.0565430132236056E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6082783490829637E+000                  1.7363519345052141E+000                  1.1748781055393063E+000                  1.7871031466704457E+000                 -1.8585371523997835E-001                  5.4778651827832183E+000                 -2.6957535309062441E+000                  1.0902204177194839E+001                 -2.6957535309062441E+000                  5.4778651827832183E+000                  6.2179927858821171E-001                  8.4999665454629891E-001                  1.2966454152047262E+000                  6.9999999999999996E-001                  2.7997020236474884E-001                  3.4416106108120276E-003                  9.3393731282184877E-003                  3.4416106108120250E-003                  9.3393731282184859E-003                  3.4999999999993164E-001                  1.3998510118234711E-001                                        0                                        0                                        6 
