SPT,TEFF,L/L_Sun,R/R_Sun,M/M_Sun,M_bol,BC,M_V,U-B,B-V
O5,42000,499000,13.4,60,-9.51,-4.4,-5.1,-1.19,-0.33
O6,39500,324000,12.2,37,-9.04,-3.93,-5.1,-1.17,-0.33
O7,37500,216000,11,,-8.6,-3.68,-4.9,-1.15,-0.32
O8,35800,147000,10,23,-8.18,-3.54,-4.6,-1.14,-0.32
B0,30000,32500,6.7,17.5,-6.54,-3.16,-3.4,-1.08,-0.3
B1,25400,9950,5.2,,-5.26,-2.7,-2.6,-0.95,-0.26
B2,20900,2920,4.1,,-3.92,-2.35,-1.6,-0.84,-0.24
B3,18800,1580,3.8,7.6,-3.26,-1.94,-1.3,-0.71,-0.2
B5,15200,480,3.2,5.9,-1.96,-1.46,-0.5,-0.58,-0.17
B6,13700,272,2.9,,-1.35,-1.21,-0.1,-0.5,-0.15
B7,12500,160,2.7,,-0.77,-1.02,0.3,-0.43,-0.13
B8,11400,96.7,2.5,3.8,-0.22,-0.8,0.6,-0.34,-0.11
B9,10500,60.7,2.3,,0.28,-0.51,0.8,-0.2,-0.07		
A0,9800,39.4,2.2,2.9,0.75,-0.3,1.1,-0.02,-0.02
A1,9400,30.3,2.1,,1.04,-0.23,1.3,0.02,0.01
A2,9020,23.6,2,,1.31,-0.2,1.5,0.05,0.05
A5,8190,12.3,1.8,2,2.02,-0.15,2.2,0.1,0.15
A8,7600,7.13,1.5,,2.61,-0.1,2.7,0.09,0.25
F0,7300,5.21,1.4,1.6,2.95,-0.09,3,0.03,0.3
F2,7050,3.89,1.3,,3.27,-0.11,3.4,0,0.35
F5,6650,2.56,1.2,1.4,3.72,-0.14,3.9,-0.02,0.44
F8,6250,1.68,1.1,,4.18,-0.16,4.3,0.02,0.52
G0,5940,1.25,1.06,1.05,4.5,-0.18,4.7,0.06,0.58
G2,5790,1.07,1.03,,4.66,-0.2,4.9,0.12,0.63
Sun,5777,1,1,1,4.74,-0.08,4.82,0.195,0.65
G8,5310,0.656,0.96,,5.2,-0.4,5.6,0.3,0.74
K0,5150,0.552,0.93,0.79,5.39,-0.31,5.7,0.45,0.81
K1,4990,0.461,0.91,,5.58,-0.37,6,0.54,0.86
K3,4690,0.318,0.86,,5.98,-0.5,6.5,0.8,0.96
K4,4540,0.263,0.83,,6.19,-0.55,6.7,,1.05
K5,4410,0.216,0.8,0.67,6.4,-0.72,7.1,0.98,1.15
K7,4150,0.145,0.74,,6.84,-1.01,7.8,1.21,1.33
M0,3840,0.077,0.63,0.51,7.52,-1.38,8.9,1.22,1.4
M1,3660,0.05,0.56,,7.99,-1.62,9.6,1.21,1.46
M2,3520,0.032,0.48,0.4,8.47,-1.89,10.4,1.18,1.49
M3,3400,0.02,0.41,,8.97,-2.15,11.1,1.16,1.51
M4,3290,0.013,0.35,,9.49,-2.38,11.9,1.15,1.54
M5,3170,0.0076,0.29,0.21,10.1,-2.73,12.8,1.24,1.64
M6,3030,0.0044,0.24,,10.6,-3.21,13.8,1.32,1.73
M7,2860,0.0025,0.2,,11.3,-3.46,14.7,1.4,1.8
