HIP,RAhms,DEdms,Vmag,RA(ICRS),DE(ICRS),Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,e_RAdeg,B-V,e_B-V,V-I,e_V-I,SpT
70890,14 29 47.75,-62 40 52.9,11.01,217.44894751,-62.68135207,772.33,2.42,-3775.64,1.52,768.16,1.82,1.31,1.807,0.02,3.62,0.03,M5Ve        
71681,14 39 39.39,-60 50 22.1,1.35,219.91412833,-60.83947139,742.12,1.4,-3600.35,26.1,952.11,19.75,46.2,0.9,0.02,0.88,0.02,K1V         
71683,14 39 40.90,-60 50 06.5,-0.01,219.92041034,-60.83514707,742.12,1.4,-3678.19,1.51,481.84,1.24,1.42,0.71,0.04,0.69,0.02,G2V         
87937,17 57 48.97,+04 40 05.8,9.54,269.45402305,4.66828815,549.01,1.58,-797.84,1.61,10326.93,1.29,1.33,1.57,0.015,2.52,0.06,sdM4        
54035,11 03 20.61,+35 58 53.3,7.49,165.83588409,35.98146424,392.4,0.91,-580.2,0.77,-4767.09,0.77,0.67,1.502,0.014,2.07,0.02,M2V         
32349,06 45 09.25,-16 42 47.3,-1.44,101.28854105,-16.71314306,379.21,1.58,-546.01,1.33,-1223.08,1.24,1.21,0.009,0.007,-0.02,0,A0m...      
92403,18 49 48.96,-23 50 08.8,10.37,282.45398321,-23.83576457,336.48,1.82,637.55,2.22,-192.47,1.45,1.72,1.51,0.51,2.33,0.64,M3.5Ve      
16537,03 32 56.42,-09 27 29.9,3.72,53.23509009,-9.45830584,310.75,0.85,-976.44,0.98,17.97,0.91,0.77,0.881,0.007,0.94,0.02,K2V         
114046,23 05 47.17,-35 51 22.7,7.35,346.44652092,-35.8562971,303.9,0.87,6767.26,0.7,1326.66,0.74,0.61,1.483,0.003,2.02,0,M2/M3V      
57548,11 47 44.04,+00 48 27.1,11.12,176.93351286,0.80752617,299.58,2.2,605.62,2.14,-1219.23,1.86,1.98,1.746,0.02,2.97,0.01,M4.5V       
104214,21 06 50.84,+38 44 29.4,5.2,316.71181258,38.74149446,287.13,1.51,4155.1,0.95,3258.9,1.19,0.84,1.069,0.015,1.13,0.02,K5V         
37279,07 39 18.54,+05 13 39.0,0.4,114.82724194,5.22750767,285.93,0.88,-716.57,0.88,-1034.58,0.38,0.82,0.432,0.015,0.49,0.02,F5IV-V      
104217,21 06 52.19,+38 44 03.9,6.05,316.71746843,38.73441392,285.42,0.72,4107.4,0.43,3143.72,0.59,0.41,1.309,0.012,1.27,0.01,K7V         
91772,18 42 48.51,+59 37 20.5,9.7,280.7021239,59.62236064,284.48,5.01,-1393.2,11.5,1845.73,12.02,12.91,1.561,0.005,2.49,0.02,K5          
91768,18 42 48.22,+59 37 33.7,8.94,280.70090582,59.62601593,280.28,2.57,-1326.88,3.1,1802.12,3.58,3.31,1.504,0.008,2.1,0.06,K5          
1475,00 18 20.54,+44 01 19.0,8.09,4.58559067,44.02195597,280.27,1.05,2888.92,0.75,410.58,0.63,0.67,1.56,0.04,2.48,0.17,M1V         
108870,22 03 17.44,-56 46 47.3,4.69,330.82266498,-56.77980602,275.76,0.69,3959.97,0.55,-2538.84,0.42,0.48,1.056,0.016,1.15,0.02,K5V         
8102,01 44 05.13,-15 56 22.4,3.49,26.02136441,-15.93955597,274.17,0.8,-1721.82,0.83,854.07,0.8,0.64,0.727,0.007,0.82,0.02,G8V         
5643,01 12 29.90,-17 00 01.9,12.1,18.12459256,-17.00053959,269.05,7.57,1210.09,5.21,646.95,3.91,4.3,1.85,0.02,3.15,0.02,M5.5Ve      
36208,07 27 24.16,+05 14 05.2,9.84,111.85068549,5.23476432,263.26,1.43,571.27,1.41,-3694.25,0.9,1.31,1.573,0.043,2.71,0.02,M5          
24186,05 11 35.21,-45 00 16.2,8.86,77.89672045,-45.00448677,255.26,0.86,6506.05,0.95,-5731.39,0.9,0.74,1.543,0.02,1.96,0,M0V         
105090,21 17 17.71,-38 51 52.5,6.69,319.32379676,-38.86457451,253.37,1.13,-3259,1.28,-1146.99,0.56,0.93,1.397,0.002,1.77,0.02,M1/M2V      
110893,22 28 00.42,+57 41 49.3,9.59,337.00174003,57.69702005,249.52,3.03,-870.23,3,-471.1,2.97,3.09,1.613,0.003,2.63,0.01,M2V         
30920,06 29 23.00,-02 48 44.9,11.12,97.345813,-2.81247539,242.89,2.64,694.73,3,-618.62,2.48,2.11,1.69,0.02,3.04,0.02,M4.5Ve      
72511,14 49 33.51,-26 06 21.7,11.72,222.38963876,-26.1060337,235.24,22.43,-1389.7,28.92,135.76,20.39,26.05,1.48,0.015,2.06,0,M           
80824,16 30 18.11,-12 39 35.0,10.1,247.57547824,-12.65971367,234.51,1.82,-93.61,2.2,-1184.9,1.74,1.77,1.604,0.035,2.68,0.01,M4          
