SPT,TEFF,L/L_Sun,R/R_Sun,M/M_Sun,M_bol,BC,M_V,U-B,B-V
O5,40900,1140000,21.2,70,-10.4,-3.87,-6.5,-1.17,-0.31
O6,38500,998000,22.4,40,-10.26,-3.74,-6.5,-1.16,-0.31
O7,36200,877000,23.8,,-10.12,-3.48,-6.6,-1.14,-0.31
O8,34000,769000,25.3,28,-9.98,-3.35,-6.6,-1.13,-0.29
B0,26200,429000,31.7,25,-9.34,-2.49,-6.9,-1.06,-0.23
B1,21400,261000,37.3,,-8.8,-1.87,-6.9,-1,-0.19
B2,17600,157000,42.8,,-8.25,-1.58,-6.7,-0.94,-0.17
B3,16000,123000,45.8,,-7.99,-1.26,-6.7,-0.83,-0.13
B5,13600,79100,51.1,20,-7.51,-0.95,-6.6,-0.72,-0.1
B6,12600,65200,53.8,,-7.3,-0.88,-6.4,-0.69,-0.08
B7,11800,54800,56.4,,-7.11,-0.78,-6.3,-0.64,-0.05
B8,11100,47200,58.9,,-6.95,-0.66,-6.3,-0.56,-0.03
B9,10500,41600,61.8,,-6.81,-0.52,-6.3,-0.5,-0.02
A0,9980,37500,64.9,16,-6.7,-0.41,-6.3,-0.38,-0.01
A1,9660,35400,67.3,,-6.63,-0.32,-6.3,-0.29,0.02
A2,9380,33700,69.7,,-6.58,-0.28,-6.3,-0.25,0.03
A5,8610,30500,78.6,13,-6.47,-0.13,-6.3,-0.07,0.09
A8,7910,29100,91.1,,-6.42,-0.03,-6.4,0.11,0.14
F0,7460,28800,102,12,-6.41,-0.01,-6.4,0.15,0.17
F2,7030,28700,114,,-6.41,0,-6.4,0.18,0.23
F5,6370,29100,140,10,-6.42,-0.03,-6.4,0.27,0.32
F8,5750,29700,174,,-6.44,-0.09,-6.4,0.41,0.56
G0,5370,30300,202,10,-6.47,-0.15,-6.3,0.52,0.76
G2,5190,30800,218,,-6.48,-0.21,-6.3,0.63,0.87
G8,4700,32400,272,,-6.54,-0.42,-6.1,1.07,1.15
K0,4550,33100,293,13,-6.56,-0.5,-6.1,1.17,1.24
K1,4430,34000,314,,-6.59,-0.56,-6,1.28,1.3
K3,4190,36100,362,,-6.66,-0.75,-5.9,1.6,1.46
K4,4090,37500,386,,-6.7,-0.9,-5.8,,1.53
K5,3990,39200,415,13,-6.74,-1.01,-5.7,1.8,1.6
K7,3830,43200,473,,-6.85,-1.2,-5.6,1.84,1.63
M0,3620,51900,579,13,-7.05,-1.29,-5.8,1.9,1.67
M1,3490,60300,672,,-7.21,-1.38,-5.8,1.9,1.69
M2,3370,72100,791,19,-7.41,-1.62,-5.8,1.95,1.71
M3,3210,89500,967,,-7.64,-2.13,-5.5,1.95,1.69
M4,3060,117000,1220,,-7.93,-2.75,-5.2,2,1.76
M5,2880,165000,1640,24,-8.31,-3.47,-4.8,1.6,1.8
M6,2710,264000,2340,,-8.82,-3.9,-4.9,,
