   spec_id                                kic             teff          err_teff           logg          err_logg        feh            err_feh           afe            err_afe       ch              err_ch         nh             err_nh         dnu             err_dnu       numax         err_numax      mass          err_mass         age                       err_age

 20140502-KP185111N464417V01-13-057       10000108      4763.6684570    107.9812469        2.5311799      0.0903242     -0.5971909      0.0604730        0.2141950      0.0327454     -0.5463070      0.0658328     -0.6645680      0.0810783      5.8002801      0.0152900     54.2243690      0.5108700      1.0313728      0.0750943       8.6897500000000001       2.3933900000000001  

 20140529-KP185111N464417V03-13-056       10000207      4608.5751953    112.4819717        2.7253101      0.1062120     -0.2295049      0.0618363        0.2456540      0.0336892     -0.0879346      0.0691257     -0.1311960      0.0869625      8.8133898      0.0212700     94.9825211      0.5482400      0.9964694      0.0633557      12.8295999999999990       2.8466200000000002  

 20150520-HD190126N465605V01-08-032       10000547      4953.4404297     89.8055878        3.0117400      0.1087760     -0.2455817      0.0621430        0.0942565      0.0346869     -0.2112270      0.0707649     -0.2302160      0.0870972     13.2104702      0.0200700    160.3589935      0.7269200      1.1842592      0.0555076       6.1632800000000003       1.1664399999999999  

 20150530-KP190651N485531V03-01-099       10000981      4724.8525391    163.9654083        2.5966499      0.2622430     -0.6737390      0.1438826        0.3315550      0.0690921     -0.5296460      0.1493620     -0.6491500      0.1600840      6.8379002      0.0165500     65.5981903      0.6055500      0.9417840      0.0842229      13.4697999999999990       3.3910200000000001  

 20150520-HD190126N465605V01-08-080       10001326      4603.7856445    103.2360687        2.6968000      0.0866522     -0.0068084      0.0600672        0.0641653      0.0308525     -0.0531340      0.0641962      0.1801550      0.0806853      5.0483999      0.0122700     47.6998482      0.4250900      1.1878119      0.0832578       6.7245299999999997       1.7406200000000001  

 20150530-KP190651N485531V02-01-119       10001440      4717.2783203    126.5334473        2.4942400      0.1502020     -0.5546862      0.0886082        0.2776820      0.0461009     -0.4746920      0.0978159     -0.6058260      0.1093430      5.0950298      0.0109400     44.3230782      0.4966900      0.9316745      0.0768093      13.6786999999999990       3.2749299999999999  

 20150530-KP190651N485531V02-01-112       10001994      4892.4746094    180.1029205        3.1109700      0.3185880     -0.2388670      0.1650601        0.1133080      0.0757941      0.0720384      0.1732460     -0.0209818      0.1775710     14.2066698      0.0297300    187.5223541      1.1966701      1.3476794      0.1114982       4.7048399999999999       1.5321300000000000  

 20140918-KP190651N485531V01-07-163       10003039      4868.9316406     77.5563431        3.1781499      0.0889697     -0.2514433      0.0607103        0.2442240      0.0315580     -0.1239740      0.0653909     -0.2731600      0.0823171     16.7346592      0.0301900    210.0110931      1.0727900      0.9845356      0.0457161      12.1839999999999990       2.3592900000000001  

 20150530-KP190651N485531V02-07-246       10003349      4533.1967773    163.1710663        2.4705200      0.1591090      0.0559424      0.0920098        0.0340625      0.0483104     -0.0655119      0.1026050      0.3107040      0.1111170      4.9881001      0.0142000     48.3509293      0.5828800      1.2599939      0.1279458       6.4545199999999996       2.6802199999999998  

 20140520-KP192314N471144V01-03-077       10004825      4587.1323242     98.8047180        2.6591401      0.0794289      0.3315023      0.0571689        0.0209289      0.0300672      0.2981140      0.0604078      0.6525360      0.0757346      5.4118199      0.0142900     58.1219482      0.6322800      1.6515764      0.1247054       2.6743600000000001       0.7362460000000000  

 20151002-KP192314N471144V03-03-189       10006828      4600.9370117    111.5533600        2.1943200      0.0685154     -0.5353234      0.0544794        0.2575410      0.0284960     -0.4562270      0.0550053     -0.5676820      0.0747896      2.8081400      0.0117900     20.9995193      0.3853600      1.0310633      0.1115769      10.0380000000000000       3.6350500000000001  

 20151002-KP192314N471144V02-04-195       10007644      4996.6386719    112.2169342        2.9939401      0.0663537     -0.4474320      0.0522485        0.2150760      0.0264466     -0.3915100      0.0554127     -0.6568120      0.0727007      7.9600501      0.0221100     79.1050797      0.5540300      1.0725164      0.0705816       7.3323600000000004       1.6031400000000000  

 20151002-KP192314N471144V02-04-122       10010358      4580.0292969    104.4964523        2.6380301      0.0774279      0.1347722      0.0537649        0.0502098      0.0277236      0.1035840      0.0517317      0.2376300      0.0726087      4.4090099      0.0097800     43.4271088      0.5659800      1.5473142      0.1271813       3.0052699999999999       0.9305710000000000  

 20140520-KP192314N471144V01-04-105       10010946      4716.3876953     88.6008377        2.6661000      0.0774279     -0.1769135      0.0537649        0.0622483      0.0277236     -0.2006320      0.0517317     -0.1108040      0.0726087      4.7376299      0.0122600     42.7566986      0.3618500      1.1490207      0.0734440       7.0759200000000000       1.7898400000000001  

 20151002-KP192314N471144V02-04-243       10011329      4610.9492188    103.1006699        2.5408499      0.0774279      0.0900922      0.0537649        0.0015755      0.0277236     -0.0794194      0.0517317      0.2817800      0.0726087      3.7771699      0.0120900     36.4754295      0.7612800      1.7300340      0.1884981       2.5241099999999999       0.8571310000000000  

 20151002-KP192314N471144V03-06-041       10014893      4431.5869141    132.1376038        2.2356100      0.0791838     -0.0736683      0.0555482        0.0331423      0.0289604     -0.1914110      0.0597472      0.0992291      0.0749906      3.1057100      0.0121300     26.6835804      0.3870700      1.3679094      0.1420799       4.5707399999999998       1.9128900000000000  

